,Draw No.,1st,2nd,2nd.1,2nd.2,City,Date,Full List
0,86,476828,120835,524976,990472,Hyderabad,01-04-2021,View
1,85,378251,497007,718384,811208,Muzaffarabad,04-01-2021,View
2,84,515400,79719,370991,971907,Multan,01-10-2020,View
3,83,459996,284054,367662,866512,Hyderabad,02-07-2020,View
4,82,13278,281570,499481,867756,Faisalabad,01-04-2020,View
5,81,305737,43538,111088,835783,Quetta,02-01-2020,View
6,80,392299,479714,687378,742432,Muzaffarabad,01-10-2019,View
7,79,481556,100299,213499,531897,Faisalabad,02-07-2019,View
8,78,106540,142418,314538,791391,Rawalpindi,01-04-2019,View
9,77,840873,196633,346945,365936,Karachi,02-01-2019,View
10,76,545525,501290,546973,779078,Peshawar,01-10-2018,View
11,75,550288,31693,204348,636774,Lahore,03-07-2018,View
12,74,264322,325798,339809,997942,Multan,02-04-2018,View
13,73,389896,82867,296919,311272,Muzaffarabad,02-01-2018,View
14,72,945895,214313,821930,848054,Multan,02-10-2017,View
15,71,184483,401319,567986,679371,Muzaffarabad,04-07-2017,View
16,70,791005,15856,372039,697492,Lahore,03-04-2017,View
17,69,122017,257402,448844,768319,Rawalpindi,03-01-2017,View
18,68,65699,203807,481443,487565,Faisalabad,03-10-2016,View
19,67,940031,22408,92424,560730,Quetta,04-07-2016,View
20,66,487795,54561,534183,813641,Hyderabad,01-04-2016,View
21,65,997321,103941,683628,734698,Karachi,04-01-2016,View
22,64,963920,442107,752952,759945,Muzaffarabad,01-10-2015,View
23,63,420462,468423,623790,745912,Hyderabad,02-07-2015,View
24,62,7251,194256,279879,445735,Quetta,01-04-2015,View
25,61,249376,15682,206804,898041,Lahore,02-01-2015,View
26,60,968892,43952,106450,291004,Muzaffarabad,01-10-2014,View
27,59,403849,274971,647103,705707,Multan,02-07-2014,View
28,58,884935,130030,735201,858749,Rawalpindi,01-04-2014,View
29,57,457470,69106,366848,517990,Karachi,02-01-2014,View
30,56,450492,67593,591241,893492,Rawalpindi,01-10-2013,View
31,55,987861,475066,566407,987938,Muzaffarabad,02-07-2013,View
32,54,894662,594216,673739,781590,Peshawar,01-04-2013,View
33,53,347133,109166,398030,426237,Multan,02-01-2013,View
34,52,62434,203846,889456,995583,Rawalpindi,01-10-2012,View
35,51,359373,14231,603193,636603,Muzaffarabad,03-07-2012,View
36,50,189377,117276,239714,352926,Hyderabad,02-04-2012,View
37,49,646339,260042,908123,908764,Faisalabad,03-01-2012,View
38,48,106948,333783,607373,924832,Faisalabad,01-10-2011,View
39,47,830121,711100,723860,980246,Lahore,02-07-2011,View
40,46,519747,235480,240754,993640,Karachi,01-04-2011,View
41,45,18847,18846,246664,703584,Peshawar,03-01-2011,View
42,44,986589,2183,253519,374012,Rawalpindi,01-10-2010,View
43,43,896902,463128,615581,747716,Hyderabad,02-07-2010,View
44,42,388629,358329,472866,530632,Muzaffarabad,01-04-2010,View
45,41,702953,293111,579362,851520,Multan,02-01-2010,View
46,40,998442,541470,695047,710063,Multan,01-10-2009,View
47,39,372827,286180,372827,432728,Rawalpindi,02-07-2009,View
48,38,613366,85151,175640,344838,Karachi,01-04-2009,View
49,37,904860,258427,543075,712698,Peshawar,02-01-2009,View
50,36,521102,162283,473810,949627,Quetta,04-10-2008,View
51,35,709794,145894,880459,971307,Faisalabad,02-07-2008,View
52,34,942023,193170,600885,764642,Sialkot,01-04-2008,View
53,33,552122,36660,70490,970667,Bahawalpur,02-01-2008,View
54,32,722523,55448,400089,885617,Gujranwala,01-10-2007,View
55,31,435395,164447,412361,547730,Quetta,03-07-2007,View
56,30,283059,47583,193059,528498,Multan,02-04-2007,View
57,29,167648,24836,413065,757504,Faisalabad,04-01-2007,View
58,28,697940,9399,441659,713408,Lahore,02-10-2006,View
59,27,69004,65344,330180,737960,Rawalpindi,03-07-2006,View
60,26,558667,254471,296638,521673,Karachi,01-04-2006,View
61,25,412792,470862,833862,944987,Peshawar,02-01-2006,View
62,24,456621,71266,125034,916597,Gujranwala,01-10-2005,View
63,23,639455,390097,886833,971410,Quetta,02-07-2005,View
64,22,253454,149627,473151,713453,Multan,01-04-2005,View
65,21,132533,137274,585196,670578,Faisalabad,03-01-2005,View
66,20,553808,142661,629461,939124,Gujranwala,01-10-2004,View
67,19,671530,225012,349848,898123,Peshawar,02-07-2004,View
68,18,548015,213957,324174,660816,Lahore,01-04-2004,View
69,17,312187,146983,291555,312967,Multan,02-01-2004,View
70,16,92295,2762,711545,849229,Lahore,01-10-2003,View
71,15,106965,426619,637963,658864,Islamabad,02-07-2003,View
72,14,807588,271029,271325,448467,Karachi,01-04-2003,View
73,13,626450,204542,488008,852794,Rawalpindi,02-01-2003,View
74,12,855358,206169,461676,515247,Karachi,01-10-2002,View
75,11,228039,275581,365257,369252,Peshawar,02-07-2002,View
76,10,347580,449082,539942,626653,Lahore,01-04-2002,View
77,9,265420,105978,510641,604913,Multan,02-01-2002,View
78,8,870518,18010,357830,583207,Lahore,01-10-2001,View
79,7,288712,187965,339768,439604,Multan,03-07-2001,View
80,6,217188,31119,564875,675965,Karachi,02-04-2001,View
81,5,290364,11006,438365,551369,Rawalpindi,02-01-2001,View
82,4,956029,37520,39094,295718,Rawalpindi,02-10-2000,View
83,3,549378,124577,416624,695850,Multan,03-07-2000,View
84,2,813182,270396,458321,597806,Faisalabad,01-04-2000,View
85,1,914027,73811,85395,102847,Peshawar,03-01-2000,View
