,Draw No.,1st,2nd,2nd.1,2nd.2,2nd.3,2nd.4,City,Date,Full List
0,90,489317,482044,585014,678913,720703.0,770704.0,Multan,15-06-2022,View
1,89,793039,128737,390413,591489,705889.0,796069.0,Lahore,15-03-2022,View
2,88,259580,380,233133,725485,871732.0,956938.0,Hyderabad,15-12-2021,View
3,87,752824,368787,412125,437022,490233.0,759209.0,Muzaffarabad,15-09-2021,View
4,86,514859,129441,268617,317693,423265.0,914859.0,Peshawar,15-06-2021,View
5,85,40529,249733,348312,691026,950368.0,982211.0,Faisalabad,15-03-2021,View
6,84,699479,72451,282656,720562,991452.0,996251.0,Rawalpindi,15-12-2020,View
7,83,96176,252176,615558,693713,745540.0,747752.0,Peshawar,15-09-2020,View
8,82,275942,242651,588088,604771,644033.0,948103.0,Quetta,15-06-2020,View
9,81,169299,257431,323437,343070,473516.0,672491.0,Muzaffarabad,16-03-2020,View
10,80,389955,162087,310074,517606,521670.0,806287.0,Peshawar,16-12-2019,View
11,79,557235,395211,487811,701653,910697.0,970379.0,Lahore,16-09-2019,View
12,78,539663,160370,531965,667595,825630.0,825917.0,Muzaffarabad,17-06-2019,View
13,77,419270,166457,415321,459275,888262.0,936874.0,Multan,15-03-2019,View
14,76,817984,430351,520366,538174,570991.0,915757.0,Hyderabad,17-12-2018,View
15,75,589439,270554,328344,352099,495788.0,894784.0,Hyderabad,17-09-2018,View
16,74,598752,7062,184113,187904,515181.0,861181.0,Muzaffarabad,19-06-2018,View
17,73,629636,35474,172997,202532,425987.0,661011.0,Faisalabad,15-03-2018,View
18,72,210469,194931,253137,736625,813704.0,945432.0,Lahore,15-12-2017,View
19,71,359978,163029,290668,455132,558143.0,600284.0,Muzaffarabad,15-09-2017,View
20,70,732880,142513,320186,343783,634887.0,954354.0,Karachi,15-06-2017,View
21,69,499831,117416,404794,419898,898975.0,947555.0,Rawalpindi,15-03-2017,View
22,68,714160,156937,157762,299548,409501.0,950066.0,Multan,15-12-2016,View
23,67,385257,215213,264330,624771,879095.0,935025.0,Peshawar,15-09-2016,View
24,66,719296,352080,392071,457770,467851.0,886401.0,Faisalabad,15-06-2016,View
25,65,296944,594014,607072,740450,875569.0,958905.0,Muzaffarabad,15-03-2016,View
26,64,592635,138780,192844,608758,925399.0,947935.0,Faisalabad,15-12-2015,View
27,63,105895,21647,86257,852578,878436.0,953043.0,Peshawar,15-09-2015,View
28,62,443829,292902,341488,410904,595682.0,952040.0,Muzaffarabad,15-06-2015,View
29,61,771403,113172,282421,510622,698608.0,765898.0,Hyderabad,16-03-2015,View
30,60,774407,4323,286614,666644,682537.0,907112.0,Lahore,15-12-2014,View
31,59,202242,400548,492702,552451,584301.0,615709.0,Faisalabad,15-09-2014,View
32,58,825563,105596,380914,809083,928656.0,962381.0,Quetta,16-06-2014,View
33,57,923987,66519,458035,718363,802131.0,923798.0,Hyderabad,17-03-2014,View
34,56,58709,46499,130182,330633,468096.0,768754.0,Lahore,16-12-2013,View
35,55,314719,167693,378800,566206,897640.0,948427.0,Hyderabad,16-09-2013,View
36,54,710810,295279,436912,763164,817847.0,938316.0,Quetta,17-06-2013,View
37,53,331333,291686,540548,687036,759306.0,909774.0,Faisalabad,15-03-2013,View
38,52,663354,142516,211941,453794,512535.0,704928.0,Peshawar,17-12-2012,View
39,51,421278,192784,457201,718726,835889.0,874880.0,Muzaffarabad,17-09-2012,View
40,50,302259,154207,501683,553802,590450.0,989359.0,Quetta,15-06-2012,View
41,49,323713,182400,752122,791866,841849.0,937277.0,Lahore,15-03-2012,View
42,48,484688,78351,268915,348803,808191.0,921234.0,Karachi,15-12-2011,View
43,47,288057,11848,21669,406012,610641.0,724360.0,Quetta,15-09-2011,View
44,46,124485,64099,154369,428957,868376.0,959936.0,Rawalpindi,15-06-2011,View
45,45,126434,259733,305219,503502,610952.0,918956.0,Multan,15-03-2011,View
46,44,402087,344173,409174,567973,613229.0,910320.0,Hyderabad,15-12-2010,View
47,43,819421,102947,348103,702104,828421.0,838421.0,Peshawar,15-09-2010,View
48,42,218251,420729,543989,665616,752327.0,833934.0,Lahore,15-06-2010,View
49,41,349928,139854,509493,579777,695665.0,785280.0,Faisalabad,15-03-2010,View
50,40,359331,454285,455335,640107,646427.0,942817.0,Sukkur,15-12-2009,View
51,39,127560,88121,321057,585943,687669.0,726332.0,Lahore,15-09-2009,View
52,38,55127,246922,523394,668785,889419.0,914331.0,Hyderabad,15-06-2009,View
53,37,853303,128180,267966,463218,602960.0,938895.0,Rawalpindi,17-03-2009,View
54,36,342441,154053,378929,442409,506537.0,807696.0,Islamabad,15-12-2008,View
55,35,346011,57289,133877,300574,309928.0,347187.0,Karachi,15-09-2008,View
56,34,571928,21193,163489,601465,,,Peshawar,16-06-2008,View
57,33,325156,12679,17245,78480,,,Lahore,15-03-2008,View
58,32,55542,278504,619548,778503,,,Multan,15-12-2007,View
59,31,127553,142732,247454,292032,,,Hyderabad,15-09-2007,View
60,30,688689,331118,421844,968569,,,Muzaffarabad,15-06-2007,View
61,29,562448,345876,402117,613291,,,Quetta,15-03-2007,View
62,28,341352,687530,895804,982465,,,Islamabad,15-12-2006,View
63,27,681052,388312,568951,780912,,,Karachi,15-09-2006,View
64,26,946113,103409,858059,977810,,,Peshawar,15-06-2006,View
65,25,49064,9598,280989,431462,,,Lahore,15-03-2006,View
66,24,837239,603717,761804,815995,,,Hyderabad,15-12-2005,View
67,23,411830,85589,212567,266667,,,Karachi,15-09-2005,View
68,22,930471,241515,369300,852892,,,Rawalpindi,15-06-2005,View
69,21,141969,70003,316744,560036,,,Lahore,15-03-2005,View
70,20,940046,191998,788279,789535,,,Gujranwala,15-12-2004,View
71,19,253095,98976,425880,652972,,,Karachi,15-09-2004,View
72,18,713480,160703,835636,875486,,,Islamabad,15-06-2004,View
73,17,262069,755501,870872,903114,,,Peshawar,15-03-2004,View
74,16,932499,185854,203060,426301,,,Lahore,15-12-2003,View
75,15,16343,63453,81545,615037,,,Multan,15-09-2003,View
76,14,639093,370330,770630,773230,,,Bahawalpur,16-06-2003,View
77,13,68359,90290,146673,414377,,,Hyderabad,15-03-2003,View
78,12,453540,295295,573542,644524,,,Islamabad,16-12-2002,View
79,11,255331,93900,144781,197404,,,Quetta,16-09-2002,View
80,10,303374,126926,394968,555011,,,Karachi,15-06-2002,View
81,9,193904,3902,270711,835118,,,Peshawar,15-03-2002,View
82,8,818980,2191,475590,548970,,,Hyderabad,15-12-2001,View
83,7,968078,103887,143867,668075,,,Rawalpindi,15-09-2001,View
84,6,959859,168870,535850,671897,,,Sialkot,15-06-2001,View
85,5,665525,47054,49952,72993,,,Bahawalpur,15-03-2001,View
86,4,984540,190357,403432,679475,,,Peshawar,15-12-2000,View
87,3,189848,60298,503716,580682,648651.0,937198.0,Karachi,15-09-2000,View
88,2,36910,8070,421705,461181,602046.0,797972.0,Islamabad,15-06-2000,View
89,1,953921,12281,269041,691213,785833.0,842077.0,Rawalpindi,15-03-2000,View
