,Draw No.,1st,2nd,2nd.1,2nd.2,City,Date,Full List
0,21,763153,16018,318363,341290,Muzaffarabad,10-06-2022,View
1,20,755505,216179,311017,335736,Quetta,10-03-2022,View
2,19,953829,366951,599135,629631,Lahore,10-12-2021,View
3,18,619284,11192,82571,460593,Peshawar,10-09-2021,View
4,17,370594,7870,211541,747096,Muzaffarabad,10-06-2021,View
5,16,12085,239849,758623,994854,Rawalpindi,10-03-2021,View
6,15,998029,213322,457930,805482,Hyderabad,10-12-2020,View
7,14,665868,169862,210732,625309,Rawalpindi,10-09-2020,View
8,13,209637,215619,219826,919435,Karachi,10-06-2020,View
9,12,518928,284533,819896,944989,Multan,10-03-2020,View
10,11,315554,222386,508980,845315,Quetta,10-12-2019,View
11,10,630918,187576,792533,982127,Muzaffarabad,11-09-2019,View
12,9,262154,121907,376674,514119,Peshawar,10-06-2019,View
13,8,953497,218713,307083,891043,Rawalpindi,11-03-2019,View
14,7,550275,153744,695422,913633,Muzaffarabad,10-12-2018,View
15,6,888764,18472,739879,779423,Quetta,10-09-2018,View
16,5,467508,86866,87033,427609,Rawalpindi,11-06-2018,View
17,4,434303,23961,519469,931526,Hyderabad,12-03-2018,View
18,3,51122,543960,579951,604974,Karachi,11-12-2017,View
19,2,96218,276032,794074,847494,Lahore,11-09-2017,View
20,1,570672,138786,343560,745872,Peshawar,12-06-2017,View
