,Prize Bond,Draw No.,1st,2nd,2nd.1,2nd.2,2nd.3,2nd.4,City,Date,Full List
0,Rs. 750,91,722561,321896,828159,873486,,,Lahore,15-07-2022,View
1,Rs. 200,90,489317,482044,585014,678913,720703.0,770704.0,Multan,15-06-2022,View
2,Rs. 25000 Premium,6,415455857641,127995,464283,482643,484175.0,585235.0,Hyderabad,10-06-2022,View
3,Rs. 40000 Premium,21,763153,16018,318363,341290,,,Muzaffarabad,10-06-2022,View
4,Rs. 100,38,93241,109857,297539,479884,,,Faisalabad,16-05-2022,View
5,Rs. 1500,90,928756,68381,673933,924554,,,Rawalpindi,16-05-2022,View
6,Rs. 750,90,394635,207865,529894,829039,,,Karachi,15-04-2022,View
7,Rs. 200,89,793039,128737,390413,591489,705889.0,796069.0,Lahore,15-03-2022,View
8,Rs. 40000 Premium,20,755505,216179,311017,335736,,,Quetta,10-03-2022,View
9,Rs. 25000 Premium,5,96298193729,66227,284279,604401,696721.0,901103.0,Rawalpindi,10-03-2022,View
10,Rs. 100,37,904546,74566,259751,885455,,,Hyderabad,15-02-2022,View
11,Rs. 1500,89,878598,243545,457662,509633,,,Muzaffarabad,15-02-2022,View
12,Rs. 750,89,4208,511294,549996,983274,,,Peshawar,17-01-2022,View
13,Rs. 200,88,259580,380,233133,725485,871732.0,956938.0,Hyderabad,15-12-2021,View
14,Rs. 40000 Premium,19,953829,366951,599135,629631,,,Lahore,10-12-2021,View
15,Rs. 25000 Premium,4,16253067408,38203,171265,551833,655804.0,916353.0,Quetta,10-12-2021,View
16,Rs. 100,36,406160,50000,422885,619067,,,Peshawar,15-11-2021,View
17,Rs. 1500,88,708623,121234,251386,788311,,,Faisalabad,15-11-2021,View
18,Rs. 750,88,69845,172166,321134,828622,,,Rawalpindi,15-10-2021,View
19,Rs. 200,87,752824,368787,412125,437022,490233.0,759209.0,Muzaffarabad,15-09-2021,View
20,Rs. 25000 Premium,3,77928879917,17928,299043,366072,435276.0,924342.0,Hyderabad,10-09-2021,View
21,Rs. 40000 Premium,18,619284,11192,82571,460593,,,Peshawar,10-09-2021,View
22,Rs. 100,35,891043,212399,288254,660539,,,Faisalabad,16-08-2021,View
23,Rs. 1500,87,581729,91829,210953,759528,,,Multan,16-08-2021,View
24,Rs. 750,87,331809,232705,842723,908062,,,Lahore,15-07-2021,View
25,Rs. 200,86,514859,129441,268617,317693,423265.0,914859.0,Peshawar,15-06-2021,View
26,Rs. 25000 Premium,2,171790639589,100688,371201,860848,892614.0,924629.0,Faisalabad,10-06-2021,View
27,Rs. 40000 Premium,17,370594,7870,211541,747096,,,Muzaffarabad,10-06-2021,View
28,Rs. 100,34,636604,221550,451785,506256,,,Multan,17-05-2021,View
