product_name,product_price,product_rating,product_img_url,product_SKU,old_price
Lenovo Ideapad Intel Celeron 1TB HDD 8GB RAM Win 10+ 32GB Flash,"₦ 169,990","<div class=""stars _s"">4.3 out of 5<div class=""in"" style=""width:86%""></div></div>",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/124177/1.jpg?2856,LE842CL0S218XNAFAMZ,"<div class=""old"">₦ 190,000</div>"
"Hp 15 DW1207NIA Intel Celeron N4020,4GB/500GB Memory, 15.6"" HD Screen, Windows 10 Home - Jet Black Mesh","₦ 156,760","<div class=""stars _s"">4 out of 5<div class=""in"" style=""width:80%""></div></div>",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/9922601/1.jpg?1671,HP246CL2A5NICNAFAMZ,
Hp Stream 11 Intel Celeron D/C  4GB RAM- 64GB HDD WIN 10+ BAG,"₦ 103,999","<div class=""stars _s"">3.9 out of 5<div class=""in"" style=""width:78%""></div></div>",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/839567/1.jpg?2181,HP246CL1MUH3JNAFAMZ,"<div class=""old"">₦ 127,000</div>"
Infinix INBook X1 Pro Intel Core I3 256GB SSD 8GB RAM Bccklit Keyboard Windows 10,"₦ 210,500","<div class=""stars _s"">4.5 out of 5<div class=""in"" style=""width:90%""></div></div>",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/8470601/1.jpg?0250,IN717CL1WDKK4NAFAMZ,"<div class=""old"">₦ 238,000</div>"
Lenovo INTEL® CELERON® Lenovo Ideapad 4GB RAM DDR4 - 1TB HDD WIN 10 +USB LIGHT & 32GB Flash,"₦ 130,910","<div class=""stars _s"">4.2 out of 5<div class=""in"" style=""width:84%""></div></div>",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/2067711/1.jpg?9705,LE842CL2UIZLFNAFAMZ,"<div class=""old"">₦ 150,000</div>"
Hp 15 Intel Celeron 4GB RAM 500GB Hard Drive Windows 10 - DW1207NIA - N4020 - Jet Black Mesh,"₦ 164,350","<div class=""stars _s"">4.8 out of 5<div class=""in"" style=""width:96%""></div></div>",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/626168/1.jpg?0226,HP246CL18FHX4NAFAMZ,
"Hp HP 14-CF2049NIA Laptop (CEL-N4020, 4GB/1TD Memory, 14"" HD Screen, Windows 11 Home - Jet Black","₦ 163,030","<div class=""stars _s"">4.3 out of 5<div class=""in"" style=""width:86%""></div></div>",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/044389/1.jpg?4986,HP246CL0HVYEDNAFAMZ,
Hp 14 Intel Celeron N4020 8GB RAM 1TB HDD Windows 10 + Mouse,"₦ 177,800","<div class=""stars _s"">5 out of 5<div class=""in"" style=""width:100%""></div></div>",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/6493111/1.jpg?5412,HP246CL32J3XBNAFAMZ,"<div class=""old"">₦ 205,000</div>"
Hp Stream 11 Intel Celeron 2GB RAM- 32GB HDD WIN 10+ 32GB FLASH,"₦ 96,265","<div class=""stars _s"">4.3 out of 5<div class=""in"" style=""width:86%""></div></div>",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/754317/1.jpg?0799,HP246CL1COA19NAFAMZ,"<div class=""old"">₦ 100,000</div>"
"Multipurpose Foldable Table, Bed Side Table, Tray Holder Breakfast Laptop Desk Serving Table","₦ 8,030","<div class=""stars _s"">4.5 out of 5<div class=""in"" style=""width:90%""></div></div>",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/902308/1.jpg?5856,GE779FD0XVM3ONAFAMZ,"<div class=""old"">₦ 8,500</div>"
